[17:14:58] Comenzi: in asteptare=0, in procesare=0, finalizate=0
[17:14:59] Comenzi: in asteptare=6, in procesare=2, finalizate=2
[17:14:59] Comenzi: in asteptare=8, in procesare=3, finalizate=4
[17:14:59] Comenzi: in asteptare=9, in procesare=3, finalizate=8
[17:14:59] Comenzi: in asteptare=9, in procesare=3, finalizate=13
[17:15:00] Comenzi: in asteptare=16, in procesare=3, finalizate=16
[17:15:00] Comenzi: in asteptare=16, in procesare=3, finalizate=20
[17:15:00] Comenzi: in asteptare=17, in procesare=3, finalizate=25
[17:15:00] Comenzi: in asteptare=19, in procesare=3, finalizate=28
[17:15:00] Comenzi: in asteptare=20, in procesare=2, finalizate=33
[17:15:01] Comenzi: in asteptare=23, in procesare=3, finalizate=37
[17:15:01] Comenzi: in asteptare=26, in procesare=3, finalizate=40
[17:15:01] Comenzi: in asteptare=27, in procesare=2, finalizate=45
[17:15:01] Comenzi: in asteptare=28, in procesare=3, finalizate=49
[17:15:01] Comenzi: in asteptare=30, in procesare=3, finalizate=52
[17:15:02] Comenzi: in asteptare=31, in procesare=2, finalizate=57
[17:15:02] Comenzi: in asteptare=36, in procesare=3, finalizate=61
[17:15:02] Comenzi: in asteptare=38, in procesare=3, finalizate=64
[17:15:02] Comenzi: in asteptare=39, in procesare=3, finalizate=68
[17:15:03] Comenzi: in asteptare=40, in procesare=2, finalizate=73
[17:15:03] Comenzi: in asteptare=41, in procesare=3, finalizate=76
[17:15:03] Comenzi: in asteptare=44, in procesare=3, finalizate=80
[17:15:03] Comenzi: in asteptare=45, in procesare=3, finalizate=84
[17:15:03] Comenzi: in asteptare=49, in procesare=3, finalizate=88
[17:15:04] Comenzi: in asteptare=50, in procesare=3, finalizate=92
[17:15:04] Comenzi: in asteptare=51, in procesare=2, finalizate=97
[17:15:04] Comenzi: in asteptare=52, in procesare=3, finalizate=100
[17:15:04] Comenzi: in asteptare=57, in procesare=3, finalizate=105
[17:15:04] Comenzi: in asteptare=58, in procesare=3, finalizate=109
[17:15:05] Comenzi: in asteptare=60, in procesare=3, finalizate=112
[17:15:05] Comenzi: in asteptare=61, in procesare=3, finalizate=116
[17:15:05] Comenzi: in asteptare=61, in procesare=3, finalizate=121
[17:15:05] Comenzi: in asteptare=63, in procesare=3, finalizate=124
[17:15:05] Comenzi: in asteptare=69, in procesare=3, finalizate=128
[16:42:17] Comenzi: in asteptare=0, in procesare=0, finalizate=0
[16:42:18] Comenzi: in asteptare=5, in procesare=3, finalizate=2
[16:42:18] Comenzi: in asteptare=7, in procesare=3, finalizate=5
[16:42:18] Comenzi: in asteptare=8, in procesare=2, finalizate=10
[16:42:18] Comenzi: in asteptare=10, in procesare=2, finalizate=13
[16:42:18] Comenzi: in asteptare=11, in procesare=3, finalizate=16
[16:42:19] Comenzi: in asteptare=16, in procesare=3, finalizate=21
[16:42:19] Comenzi: in asteptare=18, in procesare=2, finalizate=25
[16:42:19] Comenzi: in asteptare=19, in procesare=3, finalizate=28
[16:42:19] Comenzi: in asteptare=19, in procesare=3, finalizate=33
[16:42:19] Comenzi: in asteptare=24, in procesare=3, finalizate=36
[16:42:20] Comenzi: in asteptare=26, in procesare=3, finalizate=40
[16:42:20] Comenzi: in asteptare=29, in procesare=1, finalizate=45
[16:42:20] Comenzi: in asteptare=29, in procesare=2, finalizate=49
[16:42:20] Comenzi: in asteptare=30, in procesare=3, finalizate=52
[16:42:21] Comenzi: in asteptare=31, in procesare=2, finalizate=57
[16:42:21] Comenzi: in asteptare=35, in procesare=3, finalizate=60
[16:42:21] Comenzi: in asteptare=38, in procesare=3, finalizate=64
[16:42:21] Comenzi: in asteptare=40, in procesare=3, finalizate=67
[16:42:21] Comenzi: in asteptare=40, in procesare=3, finalizate=72
[16:42:22] Comenzi: in asteptare=41, in procesare=3, finalizate=76
[16:42:22] Comenzi: in asteptare=46, in procesare=3, finalizate=79
[16:42:22] Comenzi: in asteptare=47, in procesare=3, finalizate=84
[16:42:22] Comenzi: in asteptare=50, in procesare=2, finalizate=88
[16:42:22] Comenzi: in asteptare=51, in procesare=3, finalizate=91
[16:42:23] Comenzi: in asteptare=51, in procesare=3, finalizate=96
[16:42:23] Comenzi: in asteptare=56, in procesare=2, finalizate=100
[16:42:23] Comenzi: in asteptare=58, in procesare=3, finalizate=103
[16:42:23] Comenzi: in asteptare=58, in procesare=3, finalizate=108
[16:42:23] Comenzi: in asteptare=61, in procesare=2, finalizate=112
[16:42:24] Comenzi: in asteptare=62, in procesare=3, finalizate=115
[16:42:24] Comenzi: in asteptare=65, in procesare=3, finalizate=120
[16:42:24] Comenzi: in asteptare=67, in procesare=3, finalizate=124
[16:42:24] Comenzi: in asteptare=69, in procesare=3, finalizate=127
